Fecha;(KMH);(MPH)

--Velocidades--
2026-01-25 22:03:22;100;62.00
2026-01-25 22:03:23;200;124.00
2026-01-25 22:03:24;300;186.00
2026-01-25 22:03:25;400;248.00
2026-01-25 22:03:27;500;310.00

--Velocidades--
2026-01-25 23:02:42;100;62.00
2026-01-25 23:02:47;150;93.00
2026-01-25 23:02:50;200;124.00
2026-01-25 23:02:51;250;155.00
2026-01-25 23:02:52;300;186.00
2026-01-25 23:02:53;350;217.00
2026-01-25 23:02:57;400;248.00
2026-01-25 23:02:58;450;279.00
2026-01-25 23:03:00;500;310.00
2026-01-25 23:03:01;550;341.00
2026-01-25 23:03:02;600;372.00
2026-01-25 23:03:04;650;403.00
2026-01-25 23:03:06;700;434.00
2026-01-25 23:03:21;750;465.00
2026-01-25 23:03:25;800;496.00
2026-01-25 23:03:28;850;527.00
2026-01-25 23:03:31;900;558.00
2026-01-25 23:03:33;950;589.00
2026-01-25 23:03:35;1000;620.00

--Velocidades--
2026-01-27 02:03:55;300;186.00
2026-01-27 02:03:56;400;248.00
2026-01-27 02:03:57;500;310.00

--Velocidades--
2026-01-27 02:04:45;100;62.00
2026-01-27 02:04:46;200;124.00
2026-01-27 02:04:47;300;186.00
2026-01-27 02:04:49;650;403.00
2026-01-27 02:04:51;400;248.00
2026-01-27 02:04:54;500;310.00
2026-01-27 02:04:55;1500;930.00
2026-01-27 02:04:57;600;372.00
2026-01-27 02:04:59;700;434.00
2026-01-27 02:05:01;800;496.00
2026-01-27 02:05:02;900;558.00
2026-01-27 02:05:04;1000;620.00

--Velocidades--
2026-01-27 02:22:56;100;62.00
2026-01-27 02:22:57;200;124.00
2026-01-27 02:22:59;300;186.00
2026-01-27 02:23:02;400;248.00
2026-01-27 02:23:04;500;310.00
2026-01-27 02:23:05;600;372.00
2026-01-27 02:23:07;700;434.00
2026-01-27 02:23:09;800;496.00
2026-01-27 02:23:11;900;558.00
2026-01-27 02:23:13;1000;620.00
2026-01-27 02:23:15;2000;1240.00
2026-01-27 02:23:17;1500;930.00
2026-01-27 02:23:18;3848;2385.76
2026-01-27 02:23:21;288;178.56
2026-01-27 02:23:26;7888;4890.56
2026-01-27 02:23:28;9554;5923.48
2026-01-27 02:23:30;8987;5571.94
2026-01-27 02:23:32;3748;2323.76
2026-01-27 02:23:34;87665;54352.30
2026-01-27 02:23:35;12344;7653.28
2026-01-27 02:23:37;5543;3436.66

--Velocidades--
2026-01-27 02:28:00;100;62.00
2026-01-27 02:28:02;200;124.00
2026-01-27 02:28:03;300;186.00
2026-01-27 02:28:04;400;248.00
2026-01-27 02:28:05;500;310.00
2026-01-27 02:28:06;600;372.00
2026-01-27 02:28:07;700;434.00
2026-01-27 02:28:09;800;496.00
2026-01-27 02:28:10;900;558.00
2026-01-27 02:28:12;675;418.50
2026-01-27 02:28:13;4888;3030.56
2026-01-27 02:28:15;39987;24791.94
2026-01-27 02:28:16;48757;30229.34
2026-01-27 02:28:17;3579374;2219211.88
2026-01-27 02:28:19;943087543750;584714277125.00
2026-01-27 02:28:20;3945703793475;2446336351954.50
2026-01-27 02:28:23;3945793479099;2446391957041.38
2026-01-27 02:28:25;4884375879758;3028313045449.96
2026-01-27 02:28:27;3475943743895;2155085121214.90

--Velocidades--
2026-01-27 03:03:13;100;62.00
2026-01-27 03:03:14;200;124.00
2026-01-27 03:03:15;300;186.00
2026-01-27 03:03:16;400;248.00
2026-01-27 03:03:17;500;310.00
2026-01-27 03:03:19;600;372.00
2026-01-27 03:03:20;700;434.00
2026-01-27 03:03:22;800;496.00
2026-01-27 03:03:23;900;558.00
2026-01-27 03:03:25;1000;620.00
